Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Quarter,Month Name,Weekday,Profit Margin
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,"1,200",600000,300000,50%,In-store,2020,1,1,January,Wednesday,50.0
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,"1,000",500000,150000,30%,In-store,2020,1,1,January,Thursday,30.0
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,"1,000",400000,140000,35%,In-store,2020,1,1,January,Friday,35.0
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500,133875,35%,In-store,2020,1,1,January,Saturday,35.0
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,In-store,2020,1,1,January,Sunday,30.0
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,"1,000",500000,125000,25%,In-store,2020,1,1,January,Monday,25.0
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,"1,250",625000,312500,50%,In-store,2020,1,1,January,Tuesday,50.0
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000,135000,30%,Outlet,2020,1,1,January,Wednesday,30.0
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000,133000,35%,Outlet,2020,1,1,January,Tuesday,35.0
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250,129938,35%,Outlet,2020,1,1,January,Wednesday,35.00013468013468
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,2020,1,1,January,Thursday,30.0
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,"1,000",500000,125000,25%,Outlet,2020,1,1,January,Friday,25.0
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,"1,220",610000,305000,50%,Outlet,2020,1,1,January,Saturday,50.0
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500,138750,30%,Outlet,2020,1,1,January,Sunday,30.0
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000,133000,35%,Outlet,2020,1,1,January,Monday,35.0
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000,126000,35%,Outlet,2020,1,1,January,Tuesday,35.0
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,510000,153000,30%,Outlet,2020,1,1,January,Wednesday,30.0
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,475000,118750,25%,Outlet,2020,1,1,January,Thursday,25.0
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,"1,200",600000,300000,50%,Outlet,2020,1,1,January,Friday,50.0
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000,135000,30%,Outlet,2020,2,1,February,Saturday,30.0
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000,126000,35%,Outlet,2020,2,1,February,Sunday,35.0
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250,129938,35%,Outlet,2020,2,1,February,Monday,35.00013468013468
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,495000,148500,30%,Outlet,2020,2,1,February,Tuesday,30.0
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,475000,118750,25%,Outlet,2020,2,1,February,Wednesday,25.0
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,"1,220",732000,366000,50%,Outlet,2020,2,1,February,Thursday,50.0
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,508750,152625,30%,Outlet,2020,2,1,February,Friday,30.0
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000,157500,35%,Outlet,2020,2,1,February,Saturday,35.0
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000,148750,35%,Outlet,2020,2,1,February,Sunday,35.0
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,525000,157500,30%,Outlet,2020,2,1,February,Monday,30.0
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,"1,000",650000,162500,25%,Outlet,2020,3,1,March,Tuesday,25.0
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,"1,250",750000,375000,50%,Outlet,2020,3,1,March,Wednesday,50.0
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",550000,165000,30%,Outlet,2020,3,1,March,Thursday,30.0
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500,161875,35%,Outlet,2020,3,1,March,Friday,35.0
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,2020,3,1,March,Saturday,35.0
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,2020,3,1,March,Sunday,30.0
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,"1,050",682500,170625,25%,Outlet,2020,3,1,March,Monday,25.0
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,"1,275",765000,382500,50%,Outlet,2020,3,1,March,Tuesday,50.0
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,025",563750,169125,30%,Outlet,2020,3,1,March,Wednesday,30.0
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000,166250,35%,Outlet,2020,3,1,March,Thursday,35.0
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,2020,3,1,March,Friday,35.0
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,555000,166500,30%,Outlet,2020,3,1,March,Saturday,30.0
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,"1,100",715000,178750,25%,Outlet,2020,3,1,March,Sunday,25.0
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,"1,250",750000,375000,50%,Outlet,2020,3,1,March,Monday,50.0
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,025",563750,169125,30%,Outlet,2020,3,1,March,Tuesday,30.0
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000,166250,35%,Outlet,2020,3,1,March,Wednesday,35.0
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500,161875,35%,Outlet,2020,3,1,March,Tuesday,35.0
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,2020,4,2,April,Friday,30.0
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,"1,075",698750,174688,25%,Outlet,2020,4,2,April,Saturday,25.00007155635063
